year,world
2020,0
2020,0.006
2020,0.017
2020,0.255
2020,1.827
2020,4.709
2020,8.652
2020,9.811
2020,10.848
2020,13.382
2020,20.959
2020,42.441
2020,86.513
2020,144.978
2020,210.727
2020,274.301
2020,342.045
2020,410.463
2020,483.381
2020,559.943
2020,647.301
2020,738.711
2020,844.623
2020,957.807
2020,1087.136
2020,1232.352
2020,1398.952
2020,1578.14
2020,1775.524
2020,1994.063
2020,2224.685
2020,2455.236
2020,2691.631
2020,2920.283
2020,3155.418
2020,3404.323
2020,3649.635
2020,3912.456
2020,4176.281
2020,4443.754
2020,4740.322
2020,5066.12
2020,5453.689
2020,5895.895
2020,6379.598
2020,6887.334
2020,7402.79
2020,7907.128
2020,8433.872
2020,8984.896
2020,9554.473
2020,10070.845
2021,10603.332
2021,11231.238
2021,11839.797
2021,12369.837
2021,12838.286
2021,13235.206
2021,13576.369
2021,13886.618
2021,14220.341
2021,14563.605
2021,14935.167
2021,15352.506
2021,15833.065
2021,16348.905
2021,16920.568
2021,17576.714
2021,18290.935
2021,19004.912
2021,19690.116
2021,20293.499
2021,20822.12
2021,21266.942
2021,21643.867
2021,21975.887
2021,22294.02
2021,22624.032
2021,22970.15
2021,23382.204
2021,23834.504
2021,24305.608
2021,24825.231
2021,25379.695
2021,25946.452
2021,26523.132
2021,27096.021
2021,27642.708
2021,28135.592
2021,28597.752
2021,29037.605
2021,29427.672
2021,29798.487
2021,30160.064
2021,30537.053
2021,30929.254
2021,31328.033
2021,31764.14
2021,32248.571
2021,32756.07
2021,33291.911
2021,33832.845
2021,34422.534
2021,35186.201
2022,36498.89
2022,38580.052
2022,41170.827
2022,44122.715
2022,47059.921
2022,49558.722
2022,51553.919
2022,53167.9
2022,54553.446
2022,55920.231
2022,57400.521
2022,58952.649
2022,60331.726
2022,61506.529
2022,62409.362
2022,63123.811
2022,63713.552
2022,64214.977
2022,64668.781
2022,65165.853
2022,65640.098
2022,66064.796
2022,66473.455
2022,66915.242
2022,67388.04
2022,67963.864
2022,68626.184
2022,69421.404
2022,70296.452
2022,71195.966
2022,72099.366
2022,72970.268
2022,73691.609
2022,74367.003
2022,74964.586
2022,75502.495
2022,75912.445
2022,76338.246
2022,76741.802
2022,77146.921
2022,77550.518
2022,77948.72
2022,78312.067
2022,78629.865
2022,78922.605
2022,79234.724
2022,79571.027
2022,79944.392
2022,80350.281
2022,80928.978
2022,82807.011
2022,88353.801
2023,91831.209
2023,93207.996
2023,93820.771
2023,94136.113
2023,94331.659
2023,94505.407
2023,94661.814
2023,94805.485
2023,94940.014
2023,95068.975
2023,95181.181
2023,95291.43
2023,95395.898
2023,95496.152
2023,95584.059
2023,95671.183
2023,95763.673
2023,95849.517
2023,95925.936
2023,95997.02
2023,96043.283
2023,96087.814
2023,96124.907
2023,96160.795
2023,96179.447
2023,96205.837
2023,96228.629
2023,96252.178
2023,96278.064
2023,96310.032
2023,96350.407
2023,96439.207
2023,96457.153
2023,96493.363
2023,96539.607
2023,96584.048
2023,96615.118
2023,96631.727
2023,96650.019
2023,96670.278
2023,96691.567
2023,96710.79
2023,96728.746
2023,96746.883
2023,96766.743
2023,96787.489
2023,96814.866
2023,96844.671
2023,96879.278
2023,96919.92
2023,96960.831
2023,96976.314
2023,96982.865
