location,date,total_vaccinations
Vietnam,3/7/2021,0
Vietnam,3/8/2021,377
Vietnam,3/9/2021,522
Vietnam,3/10/2021,955
Vietnam,3/11/2021,1585
Vietnam,3/12/2021,5248
Vietnam,3/13/2021,10041
Vietnam,3/14/2021,11605
Vietnam,3/15/2021,15865
Vietnam,3/16/2021,20695
Vietnam,3/17/2021,24054
Vietnam,3/18/2021,27546
Vietnam,3/19/2021,30971
Vietnam,3/20/2021,32361
Vietnam,3/21/2021,33891
Vietnam,3/22/2021,36082
Vietnam,3/23/2021,37911
Vietnam,3/24/2021,39817
Vietnam,3/25/2021,42225
Vietnam,3/26/2021,44000
Vietnam,3/27/2021,44278
Vietnam,3/28/2021,45140
Vietnam,3/29/2021,46416
Vietnam,3/30/2021,48256
Vietnam,3/31/2021,49743
Vietnam,4/1/2021,51216
Vietnam,4/2/2021,52091
Vietnam,4/3/2021,52335
Vietnam,4/4/2021,52413
Vietnam,4/5/2021,52868
Vietnam,4/6/2021,53953
Vietnam,4/7/2021,55151
Vietnam,4/8/2021,56359
Vietnam,4/9/2021,58037
Vietnam,4/10/2021,58248
Vietnam,4/11/2021,58418
Vietnam,4/12/2021,59249
Vietnam,4/13/2021,60139
Vietnam,4/14/2021,62028
Vietnam,4/15/2021,63758
Vietnam,4/16/2021,66366
Vietnam,4/17/2021,67789
Vietnam,4/18/2021,79182
Vietnam,4/19/2021,80857
Vietnam,4/20/2021,106929
Vietnam,4/21/2021,108897
Vietnam,4/22/2021,128610
Vietnam,4/23/2021,176037
Vietnam,4/24/2021,198972
Vietnam,4/25/2021,209632
Vietnam,4/26/2021,259736
Vietnam,4/27/2021,318792
Vietnam,4/28/2021,425638
Vietnam,4/29/2021,506435
Vietnam,4/30/2021,519262
Vietnam,5/1/2021,
Vietnam,5/2/2021,
Vietnam,5/3/2021,
Vietnam,5/4/2021,
Vietnam,5/5/2021,
Vietnam,5/6/2021,
Vietnam,5/7/2021,
Vietnam,5/8/2021,
Vietnam,5/9/2021,
Vietnam,5/10/2021,892454
Vietnam,5/11/2021,
Vietnam,5/12/2021,942030
Vietnam,5/13/2021,959182
Vietnam,5/14/2021,969697
Vietnam,5/15/2021,977032
Vietnam,5/16/2021,979238
Vietnam,5/18/2021,1011395
Vietnam,5/22/2021,1027659
Vietnam,5/26/2021,1034867
Vietnam,5/31/2021,1102099
Vietnam,6/2/2021,1110111
Vietnam,6/3/2021,1156056
Vietnam,6/4/2021,1217607
Vietnam,6/5/2021,1243304
Vietnam,6/6/2021,1248559
Vietnam,6/7/2021,1340098
Vietnam,6/8/2021,1354856
Vietnam,6/9/2021,1389887
Vietnam,6/10/2021,1411548
Vietnam,6/11/2021,1445723
Vietnam,6/12/2021,1454221
Vietnam,6/13/2021,1498323
Vietnam,6/14/2021,1552651
Vietnam,6/15/2021,1648072
Vietnam,6/16/2021,1773297
Vietnam,6/17/2021,1991059
Vietnam,6/18/2021,2233208
Vietnam,6/19/2021,2359376
Vietnam,6/20/2021,2422643
Vietnam,6/22/2021,2569156
Vietnam,6/23/2021,2626337
Vietnam,6/24/2021,2920248
Vietnam,6/25/2021,3087580
Vietnam,6/26/2021,3299232
Vietnam,6/27/2021,3386607
Vietnam,6/28/2021,3497104
Vietnam,6/29/2021,3593970
Vietnam,6/30/2021,3776980
Vietnam,7/1/2021,3813767
Vietnam,7/2/2021,3842646
Vietnam,7/3/2021,3867407
Vietnam,7/4/2021,3890855
Vietnam,7/5/2021,3903105
Vietnam,7/6/2021,3928001
Vietnam,7/7/2021,3960956
Vietnam,7/8/2021,3983800
Vietnam,7/9/2021,4010786
Vietnam,7/10/2021,4040783
Vietnam,7/11/2021,4051585
Vietnam,7/12/2021,4063872
Vietnam,7/13/2021,4079066
Vietnam,7/14/2021,4146767
Vietnam,7/15/2021,4185623
Vietnam,7/16/2021,4233896
Vietnam,7/17/2021,4261252
Vietnam,7/18/2021,4283906
Vietnam,7/19/2021,4305501
Vietnam,7/20/2021,4336833
Vietnam,7/21/2021,4367939
Vietnam,7/22/2021,4411659
Vietnam,7/23/2021,4478757
Vietnam,7/24/2021,4535741
Vietnam,7/25/2021,4613491
Vietnam,7/26/2021,4746642
Vietnam,7/27/2021,5013175
Vietnam,7/28/2021,5321839
Vietnam,7/29/2021,5529898
Vietnam,7/30/2021,5931376
Vietnam,7/31/2021,6203866
Vietnam,8/1/2021,6415219
Vietnam,8/2/2021,6959197
Vietnam,8/3/2021,7291808
Vietnam,8/4/2021,7553318
Vietnam,8/5/2021,8061116
Vietnam,8/6/2021,8528267
Vietnam,8/7/2021,8896615
Vietnam,8/8/2021,9405819
Vietnam,8/9/2021,9987587
Vietnam,8/10/2021,11341864
Vietnam,8/11/2021,12098821
Vietnam,8/12/2021,13256472
Vietnam,8/13/2021,13772920
Vietnam,8/14/2021,14434017
Vietnam,8/15/2021,14666708
Vietnam,8/16/2021,15271562
Vietnam,8/17/2021,15518869
Vietnam,8/18/2021,15922537
Vietnam,8/19/2021,16306199
Vietnam,8/20/2021,16494665
Vietnam,8/21/2021,17065896
Vietnam,8/22/2021,17364569
Vietnam,8/23/2021,17647353
Vietnam,8/24/2021,18095473
Vietnam,8/25/2021,18522203
Vietnam,8/26/2021,18843004
Vietnam,8/27/2021,19151122
Vietnam,8/28/2021,19431093
Vietnam,8/29/2021,19710560
Vietnam,8/30/2021,19966724
Vietnam,8/31/2021,20210381
Vietnam,9/1/2021,20542325
Vietnam,9/2/2021,20831478
Vietnam,9/3/2021,21046279
Vietnam,9/4/2021,21445181
Vietnam,9/5/2021,22012123
Vietnam,9/6/2021,22675644
Vietnam,9/7/2021,23577917
Vietnam,9/8/2021,24781185
Vietnam,9/9/2021,25926688
Vietnam,9/10/2021,27108588
Vietnam,9/11/2021,28213392
Vietnam,9/12/2021,29280307
Vietnam,9/13/2021,30348920
Vietnam,9/14/2021,31254856
Vietnam,9/15/2021,32296517
Vietnam,9/16/2021,33006632
Vietnam,9/17/2021,33555359
Vietnam,9/18/2021,34095243
Vietnam,9/19/2021,34553590
Vietnam,9/20/2021,35071714
Vietnam,9/21/2021,35675840
Vietnam,9/22/2021,36152556
Vietnam,9/23/2021,36793910
Vietnam,9/24/2021,37583248
Vietnam,9/25/2021,38367246
Vietnam,9/26/2021,39232772
Vietnam,9/27/2021,40095031
Vietnam,9/28/2021,41153041
Vietnam,9/29/2021,42165168
Vietnam,9/30/2021,42888157
Vietnam,10/1/2021,43658818
Vietnam,10/2/2021,44637911
Vietnam,10/3/2021,45496123
Vietnam,10/4/2021,46969510
Vietnam,10/5/2021,48155037
Vietnam,10/6/2021,49254925
Vietnam,10/8/2021,51968108
Vietnam,10/10/2021,54279564
Vietnam,10/11/2021,55229124
Vietnam,10/12/2021,56330750
Vietnam,10/13/2021,57457092
Vietnam,10/14/2021,59003239
Vietnam,10/16/2021,61919937
Vietnam,10/17/2021,63434180
Vietnam,10/18/2021,64992488
Vietnam,10/19/2021,67083557
Vietnam,10/20/2021,68809880
Vietnam,10/22/2021,71889209
Vietnam,10/23/2021,72929311
Vietnam,10/25/2021,74950393
Vietnam,10/26/2021,75970872
Vietnam,10/27/2021,77145612
Vietnam,10/28/2021,78940403
Vietnam,10/29/2021,80528570
Vietnam,10/30/2021,81375376
Vietnam,10/31/2021,81929875
Vietnam,11/1/2021,83131464
Vietnam,11/2/2021,84090899
Vietnam,11/3/2021,84884074
Vietnam,11/4/2021,86319808
Vietnam,11/6/2021,89620701
Vietnam,11/8/2021,92211330
Vietnam,11/9/2021,93962665
Vietnam,11/11/2021,96557452
Vietnam,11/12/2021,97831758
Vietnam,11/13/2021,98930571
Vietnam,11/14/2021,99751224
Vietnam,11/15/2021,100862898
Vietnam,11/16/2021,102030576
Vietnam,11/17/2021,103573065
Vietnam,11/19/2021,106543301
Vietnam,11/20/2021,107861131
Vietnam,11/21/2021,108915813
Vietnam,11/22/2021,110917609
Vietnam,11/23/2021,112944634
Vietnam,11/24/2021,114591610
Vietnam,11/25/2021,116328185
Vietnam,11/26/2021,117691092
Vietnam,11/27/2021,118768386
Vietnam,11/28/2021,120644108
Vietnam,11/29/2021,122083464
Vietnam,12/1/2021,125164684
Vietnam,12/2/2021,125955995
Vietnam,12/3/2021,126846771
Vietnam,12/5/2021,127828796
Vietnam,12/6/2021,128675533
Vietnam,12/7/2021,129408202
Vietnam,12/8/2021,129965296
Vietnam,12/9/2021,131033342
Vietnam,12/10/2021,131816392
Vietnam,12/11/2021,132266442
Vietnam,12/12/2021,132873501
Vietnam,12/14/2021,135202794
Vietnam,12/15/2021,135736968
Vietnam,12/17/2021,137574609
Vietnam,12/18/2021,138772562
Vietnam,12/23/2021,143520464
Vietnam,12/24/2021,144513779
Vietnam,12/25/2021,145595435
Vietnam,12/26/2021,146335052
Vietnam,12/28/2021,148198862
Vietnam,12/30/2021,150935915
Vietnam,1/2/2022,153596950
Vietnam,1/3/2022,154344391
Vietnam,1/5/2022,156902083
Vietnam,1/6/2022,157740557
Vietnam,1/8/2022,160033187
Vietnam,1/9/2022,161277807
Vietnam,1/10/2022,162375421
Vietnam,1/11/2022,163533682
Vietnam,1/13/2022,165524173
Vietnam,1/23/2022,176429307
Vietnam,1/24/2022,177388045
Vietnam,1/26/2022,179593670
Vietnam,1/28/2022,180876701
Vietnam,1/29/2022,181118415
Vietnam,1/30/2022,181280001
Vietnam,2/1/2022,181581833
Vietnam,2/2/2022,181659091
Vietnam,2/3/2022,181665411
Vietnam,2/4/2022,181665411
Vietnam,2/8/2022,183729446
Vietnam,2/9/2022,184129785
Vietnam,2/10/2022,184868879
Vietnam,2/11/2022,185254387
Vietnam,2/12/2022,185731134
Vietnam,2/13/2022,186001127
Vietnam,2/19/2022,191368265
Vietnam,2/20/2022,191667067
Vietnam,2/21/2022,191993381
Vietnam,2/22/2022,192403472
Vietnam,2/23/2022,192677323
Vietnam,2/24/2022,192865977
Vietnam,2/25/2022,193274685
Vietnam,2/26/2022,193408292
Vietnam,2/27/2022,193625095
Vietnam,2/28/2022,194970502
Vietnam,3/1/2022,195308572
Vietnam,3/2/2022,195672969
Vietnam,3/5/2022,197571534
Vietnam,3/6/2022,197910353
Vietnam,3/7/2022,198255931
Vietnam,3/8/2022,198647028
Vietnam,3/9/2022,198904850
Vietnam,3/12/2022,200179247
Vietnam,3/15/2022,200729854
Vietnam,3/18/2022,201566460
Vietnam,3/19/2022,201660445
Vietnam,3/20/2022,201828138
Vietnam,3/21/2022,202029331
Vietnam,3/22/2022,203144374
Vietnam,3/25/2022,204861158
Vietnam,3/26/2022,205002757
Vietnam,3/27/2022,205216774
Vietnam,3/28/2022,205495812
Vietnam,3/29/2022,205882049
Vietnam,3/31/2022,206338189
Vietnam,4/2/2022,206525077
Vietnam,4/5/2022,207235119
Vietnam,4/6/2022,207379359
Vietnam,4/8/2022,208460812
Vietnam,4/9/2022,208525313
Vietnam,4/12/2022,208810706
Vietnam,4/13/2022,208967215
Vietnam,4/14/2022,209101297
Vietnam,4/15/2022,209301152
Vietnam,4/16/2022,209483478
Vietnam,4/17/2022,209638138
Vietnam,4/18/2022,209816927
Vietnam,4/19/2022,210107957
Vietnam,4/20/2022,210560185
Vietnam,4/21/2022,211284125
Vietnam,4/23/2022,212390774
Vietnam,4/24/2022,212600099
Vietnam,4/25/2022,213061726
Vietnam,4/26/2022,213317994
Vietnam,4/27/2022,213645290
Vietnam,4/28/2022,214532764
Vietnam,4/29/2022,214774198
Vietnam,4/30/2022,214939202
Vietnam,5/1/2022,214991119
Vietnam,5/2/2022,215005042
Vietnam,5/3/2022,215022051
Vietnam,5/4/2022,215159324
Vietnam,5/5/2022,215350776
Vietnam,5/6/2022,215539479
Vietnam,5/7/2022,215688790
Vietnam,5/8/2022,215743796
Vietnam,5/9/2022,215839208
Vietnam,5/10/2022,216142873
Vietnam,5/12/2022,216512573
Vietnam,5/15/2022,217039026
Vietnam,5/16/2022,217377159
Vietnam,5/17/2022,217581267
Vietnam,5/18/2022,218140778
Vietnam,5/20/2022,219047772
Vietnam,5/21/2022,219084118
Vietnam,5/22/2022,219119853
Vietnam,5/24/2022,219796318
Vietnam,5/25/2022,220141209
Vietnam,5/26/2022,220441206
Vietnam,5/27/2022,220635110
Vietnam,5/29/2022,220779518
Vietnam,5/31/2022,221395862
Vietnam,6/1/2022,221558297
Vietnam,6/2/2022,221658034
Vietnam,6/3/2022,221884464
Vietnam,6/4/2022,222023219
Vietnam,6/5/2022,222072995
Vietnam,6/6/2022,222252825
Vietnam,6/7/2022,222381906
Vietnam,6/8/2022,222610562
Vietnam,6/9/2022,223070073
Vietnam,6/10/2022,223388747
Vietnam,6/11/2022,223511691
Vietnam,6/12/2022,223629992
Vietnam,6/13/2022,223974640
Vietnam,6/16/2022,224919933
Vietnam,6/17/2022,225255875
Vietnam,6/18/2022,225650647
Vietnam,6/19/2022,225836499
Vietnam,6/23/2022,228484003
Vietnam,6/24/2022,229206194
Vietnam,6/25/2022,229551802
Vietnam,6/26/2022,229854734
Vietnam,6/27/2022,230933469
Vietnam,6/29/2022,232125960
Vietnam,6/30/2022,232676319
Vietnam,7/2/2022,233468172
Vietnam,7/3/2022,233534502
Vietnam,7/7/2022,234856999
Vietnam,7/21/2022,241480787
Vietnam,8/4/2022,247726474
Vietnam,8/18/2022,253398589
Vietnam,9/1/2022,257351937
Vietnam,9/8/2022,258223943
Vietnam,9/15/2022,259176472
Vietnam,9/22/2022,259794452
Vietnam,10/2/2022,260210114
Vietnam,10/6/2022,260246761
Vietnam,10/13/2022,260375471
Vietnam,10/20/2022,261059430
Vietnam,10/27/2022,261694006
Vietnam,11/3/2022,262184598
Vietnam,11/17/2022,263040545
Vietnam,12/1/2022,264635919
Vietnam,12/15/2022,265114272
Vietnam,12/22/2022,265336568
Vietnam,1/5/2023,265536860
Vietnam,1/12/2023,265668329
Vietnam,1/26/2023,
Vietnam,2/9/2023,
Vietnam,2/16/2023,
Vietnam,2/23/2023,
Vietnam,3/2/2023,
Vietnam,3/9/2023,
Vietnam,3/30/2023,265980213
Vietnam,4/20/2023,266128292
Vietnam,5/4/2023,266266588
Vietnam,5/11/2023,266312906
Vietnam,5/25/2023,266403148
Vietnam,6/1/2023,266419940
Vietnam,6/8/2023,266448231
Vietnam,6/30/2023,266492149
