location,date,total_cases
Vietnam,1/26/2020,2
Vietnam,2/2/2020,6
Vietnam,2/9/2020,13
Vietnam,2/16/2020,16
Vietnam,2/23/2020,16
Vietnam,3/1/2020,16
Vietnam,3/8/2020,20
Vietnam,3/15/2020,53
Vietnam,3/22/2020,94
Vietnam,3/29/2020,174
Vietnam,4/5/2020,240
Vietnam,4/12/2020,258
Vietnam,4/19/2020,268
Vietnam,4/26/2020,270
Vietnam,5/3/2020,270
Vietnam,5/10/2020,288
Vietnam,5/17/2020,318
Vietnam,5/24/2020,325
Vietnam,5/31/2020,328
Vietnam,6/7/2020,329
Vietnam,6/14/2020,334
Vietnam,6/21/2020,349
Vietnam,6/28/2020,355
Vietnam,7/5/2020,355
Vietnam,7/12/2020,370
Vietnam,7/19/2020,382
Vietnam,7/26/2020,418
Vietnam,8/2/2020,590
Vietnam,8/9/2020,812
Vietnam,8/16/2020,951
Vietnam,8/23/2020,1014
Vietnam,8/30/2020,1040
Vietnam,9/6/2020,1049
Vietnam,9/13/2020,1060
Vietnam,9/20/2020,1068
Vietnam,9/27/2020,1069
Vietnam,10/4/2020,1096
Vietnam,10/11/2020,1107
Vietnam,10/18/2020,1126
Vietnam,10/25/2020,1160
Vietnam,11/1/2020,1180
Vietnam,11/8/2020,1213
Vietnam,11/15/2020,1265
Vietnam,11/22/2020,1306
Vietnam,11/29/2020,1341
Vietnam,12/6/2020,1365
Vietnam,12/13/2020,1395
Vietnam,12/20/2020,1411
Vietnam,12/27/2020,1440
Vietnam,1/3/2021,1494
Vietnam,1/10/2021,1514
Vietnam,1/17/2021,1537
Vietnam,1/24/2021,1548
Vietnam,1/31/2021,1819
Vietnam,2/7/2021,2005
Vietnam,2/14/2021,2229
Vietnam,2/21/2021,2383
Vietnam,2/28/2021,2448
Vietnam,3/7/2021,2512
Vietnam,3/14/2021,2554
Vietnam,3/21/2021,2572
Vietnam,3/28/2021,2591
Vietnam,4/4/2021,2631
Vietnam,4/11/2021,2696
Vietnam,4/18/2021,2785
Vietnam,4/25/2021,2846
Vietnam,5/2/2021,2962
Vietnam,5/9/2021,3412
Vietnam,5/16/2021,4212
Vietnam,5/23/2021,5275
Vietnam,5/30/2021,7168
Vietnam,6/6/2021,8791
Vietnam,6/13/2021,10630
Vietnam,6/20/2021,13258
Vietnam,6/27/2021,15740
Vietnam,7/4/2021,20261
Vietnam,7/11/2021,30478
Vietnam,7/18/2021,55845
Vietnam,7/25/2021,101173
Vietnam,8/1/2021,157507
Vietnam,8/8/2021,215560
Vietnam,8/15/2021,275044
Vietnam,8/22/2021,348059
Vietnam,8/29/2021,435265
Vietnam,9/5/2021,524307
Vietnam,9/12/2021,613375
Vietnam,9/19/2021,687063
Vietnam,9/26/2021,756689
Vietnam,10/3/2021,808578
Vietnam,10/10/2021,839662
Vietnam,10/17/2021,864053
Vietnam,10/24/2021,888940
Vietnam,10/31/2021,921122
Vietnam,11/7/2021,968684
Vietnam,11/14/2021,1026522
Vietnam,11/21/2021,1094514
Vietnam,11/28/2021,1210340
Vietnam,12/5/2021,1309092
Vietnam,12/12/2021,1413051
Vietnam,12/19/2021,1540478
Vietnam,12/26/2021,1651673
Vietnam,1/2/2022,1763040
Vietnam,1/9/2022,1899575
Vietnam,1/16/2022,2023546
Vietnam,1/23/2022,2141422
Vietnam,1/30/2022,2263053
Vietnam,2/6/2022,2341971
Vietnam,2/13/2022,2510860
Vietnam,2/20/2022,2787493
Vietnam,2/27/2022,3321005
Vietnam,3/6/2022,4434700
Vietnam,3/13/2022,6112648
Vietnam,3/20/2022,7958048
Vietnam,3/27/2022,9011473
Vietnam,4/3/2022,9818328
Vietnam,4/10/2022,10198236
Vietnam,4/17/2022,10432547
Vietnam,4/24/2022,10563502
Vietnam,5/1/2022,10653526
Vietnam,5/8/2022,10676184
Vietnam,5/15/2022,10696630
Vietnam,5/22/2022,10708887
Vietnam,5/29/2022,10717251
Vietnam,6/5/2022,10725239
Vietnam,6/12/2022,10731812
Vietnam,6/19/2022,10737640
Vietnam,6/26/2022,10743448
Vietnam,7/3/2022,10748127
Vietnam,7/10/2022,10754348
Vietnam,7/17/2022,10759850
Vietnam,7/24/2022,10767200
Vietnam,7/31/2022,10774679
Vietnam,8/7/2022,11346137
Vietnam,8/14/2022,11364355
Vietnam,8/21/2022,11382258
Vietnam,8/28/2022,11401597
Vietnam,9/4/2022,11417503
Vietnam,9/11/2022,11437970
Vietnam,9/18/2022,11456558
Vietnam,9/25/2022,11471340
Vietnam,10/2/2022,11480028
Vietnam,10/9/2022,11485361
Vietnam,10/16/2022,11492273
Vietnam,10/23/2022,11496829
Vietnam,10/30/2022,11502169
Vietnam,11/6/2022,11505608
Vietnam,11/13/2022,11508447
Vietnam,11/20/2022,11511178
Vietnam,11/27/2022,11514174
Vietnam,12/4/2022,11517517
Vietnam,12/11/2022,11520445
Vietnam,12/18/2022,11522750
Vietnam,12/25/2022,11524202
Vietnam,1/1/2023,11525231
Vietnam,1/8/2023,11525711
Vietnam,1/15/2023,11526118
Vietnam,1/22/2023,11526318
Vietnam,1/29/2023,11526395
Vietnam,2/5/2023,11526566
Vietnam,2/12/2023,11526651
Vietnam,2/19/2023,11526806
Vietnam,2/26/2023,11526891
Vietnam,3/5/2023,11526950
Vietnam,3/12/2023,11527033
Vietnam,3/19/2023,11527116
Vietnam,3/26/2023,11527203
Vietnam,4/2/2023,11527316
Vietnam,4/9/2023,11527701
Vietnam,4/16/2023,11530356
Vietnam,4/17/2023,11543060
Vietnam,4/18/2023,11559862
Vietnam,4/19/2023,11573931
Vietnam,4/20/2023,11589567
Vietnam,4/21/2023,11601759
Vietnam,4/22/2023,11609537
Vietnam,4/23/2023,11614583
Vietnam,4/30/2023,11617497
Vietnam,5/7/2023,11619267
Vietnam,5/14/2023,11620047
Vietnam,5/21/2023,11620596
Vietnam,5/28/2023,11621033
Vietnam,6/4/2023,11621320
Vietnam,6/11/2023,11621599
Vietnam,6/18/2023,11621798
Vietnam,6/25/2023,11621978
Vietnam,7/2/2023,11622204
Vietnam,7/9/2023,11622404
Vietnam,7/16/2023,11622683
Vietnam,7/23/2023,11622912
Vietnam,7/30/2023,11623182
Vietnam,8/6/2023,11623372
Vietnam,8/13/2023,11623571
Vietnam,8/20/2023,11623698
Vietnam,8/27/2023,11623845
Vietnam,9/3/2023,11623987
Vietnam,9/10/2023,11624013
Vietnam,9/17/2023,11624000
Vietnam,9/24/2023,11624000
Vietnam,10/1/2023,11624000
Vietnam,10/8/2023,11624000
Vietnam,10/15/2023,11624000
Vietnam,10/22/2023,11624000
Vietnam,10/29/2023,11624000
Vietnam,11/5/2023,11624000
Vietnam,11/12/2023,11624000
Vietnam,11/19/2023,11624000
